Gene,OnsetIndex,Rank,Percentile,Phase
ENSG00000178562.18,0,1,0.0,Phase I
ENSG00000163599.16,0,1,0.0,Phase I
ENSG00000163600.12,0,1,0.0,Phase I
ENSG00000118260.15,0,1,0.0,Phase I
ENSG00000163251.4,0,1,0.0,Phase I
ENSG00000138413.13,0,1,0.0,Phase I
ENSG00000115020.17,0,1,0.0,Phase I
ENSG00000144407.9,14,3203,91.82678520217952,Phase III
ENSG00000021826.15,12,3162,90.65098938915972,Phase III
ENSG00000178568.15,4,3014,86.40665328362489,Phase II
ENSG00000115414.19,18,3289,94.29308861485518,Phase IV
ENSG00000079246.16,0,1,0.0,Phase I
ENSG00000197756.9,0,1,0.0,Phase I
ENSG00000115457.10,26,3361,96.35790077430455,Phase IV
ENSG00000188282.12,18,3289,94.29308861485518,Phase IV
ENSG00000180871.8,0,1,0.0,Phase I
ENSG00000163464.7,0,1,0.0,Phase I
ENSG00000163466.16,0,1,0.0,Phase I
ENSG00000179921.15,0,1,0.0,Phase I
ENSG00000127837.9,0,1,0.0,Phase I
ENSG00000135926.15,0,1,0.0,Phase I
ENSG00000018280.17,0,1,0.0,Phase I
ENSG00000163481.8,0,1,0.0,Phase I
ENSG00000187736.12,0,1,0.0,Phase I
ENSG00000144589.22,0,1,0.0,Phase I
ENSG00000123983.14,0,1,0.0,Phase I
ENSG00000152056.17,0,1,0.0,Phase I
ENSG00000036257.13,0,1,0.0,Phase I
ENSG00000135905.19,0,1,0.0,Phase I
ENSG00000169047.5,0,1,0.0,Phase I
ENSG00000153823.18,2,2968,85.08746773731,Phase II
ENSG00000153827.13,0,1,0.0,Phase I
ENSG00000067066.17,0,1,0.0,Phase I
ENSG00000135932.11,0,1,0.0,Phase I
ENSG00000135916.16,0,1,0.0,Phase I
ENSG00000135898.10,0,1,0.0,Phase I
ENSG00000135930.14,0,1,0.0,Phase I
